"railway_no","railway_name","metro_no","metro_name"
"0005","ＪＲ山手線","000500480","秋葉原"
"0005","ＪＲ山手線","000502060","池袋"
"0005","ＪＲ山手線","000504030","上野"
"0005","ＪＲ山手線","000504160","鶯谷"
"0005","ＪＲ山手線","000505050","恵比寿"
"0005","ＪＲ山手線","000505780","大崎"
"0005","ＪＲ山手線","000506000","大塚"
"0005","ＪＲ山手線","000506530","御徒町"
"0005","ＪＲ山手線","000510270","神田"
"0005","ＪＲ山手線","000514970","五反田"
"0005","ＪＲ山手線","000515330","駒込"
"0005","ＪＲ山手線","000517460","品川"
"0005","ＪＲ山手線","000517640","渋谷"
"0005","ＪＲ山手線","000519120","新大久保"
"0005","ＪＲ山手線","000519670","新宿"
"0005","ＪＲ山手線","000520110","新橋"
"0005","ＪＲ山手線","000520550","巣鴨"
"0005","ＪＲ山手線","000522350","高田馬場"
"0005","ＪＲ山手線","000523410","田端"
"0005","ＪＲ山手線","000523500","田町"
"0005","ＪＲ山手線","000525620","東京"
"0005","ＪＲ山手線","000529160","西日暮里"
"0005","ＪＲ山手線","000529650","日暮里"
"0005","ＪＲ山手線","000531160","浜松町"
"0005","ＪＲ山手線","000531250","原宿"
"0005","ＪＲ山手線","000539110","目黒"
"0005","ＪＲ山手線","000539120","目白"
"0005","ＪＲ山手線","000540650","有楽町"
"0005","ＪＲ山手線","000541280","代々木"
"0005","ＪＲ山手線","000584570","高輪ゲートウェイ"
"0010","東京メトロ銀座線","001000250","青山一丁目"
"0010","東京メトロ銀座線","001000320","赤坂見附"
"0010","東京メトロ銀座線","001000670","浅草"
"0010","東京メトロ銀座線","001003430","稲荷町"
"0010","東京メトロ銀座線","001004030","上野"
"0010","東京メトロ銀座線","001004070","上野広小路"
"0010","東京メトロ銀座線","001007240","表参道"
"0010","東京メトロ銀座線","001007450","外苑前"
"0010","東京メトロ銀座線","001010270","神田"
"0010","東京メトロ銀座線","001012060","京橋"
"0010","東京メトロ銀座線","001012200","銀座"
"0010","東京メトロ銀座線","001017640","渋谷"
"0010","東京メトロ銀座線","001020110","新橋"
"0010","東京メトロ銀座線","001020510","末広町"
"0010","東京メトロ銀座線","001023660","溜池山王"
"0010","東京メトロ銀座線","001023730","田原町"
"0010","東京メトロ銀座線","001026650","虎ノ門"
"0010","東京メトロ銀座線","001029710","日本橋"
"0010","東京メトロ銀座線","001036980","三越前"
"0015","東京メトロ丸ノ内線","001500320","赤坂見附"
"0015","東京メトロ丸ノ内線","001501720","淡路町"
"0015","東京メトロ丸ノ内線","001502060","池袋"
"0015","東京メトロ丸ノ内線","001506050","大手町"
"0015","東京メトロ丸ノ内線","001506640","荻窪"
"0015","東京メトロ丸ノ内線","001506970","御茶ノ水"
"0015","東京メトロ丸ノ内線","001508290","霞ケ関"
"0015","東京メトロ丸ノ内線","001512200","銀座"
"0015","東京メトロ丸ノ内線","001514430","後楽園"
"0015","東京メトロ丸ノ内線","001515020","国会議事堂前"
"0015","東京メトロ丸ノ内線","001519160","新大塚"
"0015","東京メトロ丸ノ内線","001519470","新高円寺"
"0015","東京メトロ丸ノ内線","001519670","新宿"
"0015","東京メトロ丸ノ内線","001519680","新宿御苑前"
"0015","東京メトロ丸ノ内線","001519690","新宿三丁目"
"0015","東京メトロ丸ノ内線","001520030","新中野"
"0015","東京メトロ丸ノ内線","001525620","東京"
"0015","東京メトロ丸ノ内線","001527320","中野坂上"
"0015","東京メトロ丸ノ内線","001527360","中野新橋"
"0015","東京メトロ丸ノ内線","001527380","中野富士見町"
"0015","東京メトロ丸ノ内線","001528860","西新宿"
"0015","東京メトロ丸ノ内線","001531910","東高円寺"
"0015","東京メトロ丸ノ内線","001534900","方南町"
"0015","東京メトロ丸ノ内線","001535340","本郷三丁目"
"0015","東京メトロ丸ノ内線","001537270","南阿佐ケ谷"
"0015","東京メトロ丸ノ内線","001538430","茗荷谷"
"0015","東京メトロ丸ノ内線","001541160","四ツ谷"
"0015","東京メトロ丸ノ内線","001541170","四谷三丁目"
"0020","東京メトロ日比谷線","002000480","秋葉原"
"0020","東京メトロ日比谷線","002003760","入谷"
"0020","東京メトロ日比谷線","002004030","上野"
"0020","東京メトロ日比谷線","002005050","恵比寿"
"0020","東京メトロ日比谷線","002008290","霞ケ関"
