hokkaido	北海道
niigata	新潟県
ishikawa	石川県
nagano	長野県
toyama	富山県
fukui	福井県
yamanashi	山梨県
aomori	青森県
iwate	岩手県
akita	秋田県
miyagi	宮城県
yamagata	山形県
fukushima	福島県
tokyo	東京都
kanagawa	神奈川県
chiba	千葉県
saitama	埼玉県
ibaraki	茨城県
tochigi	栃木県
gumma	群馬県
aichi	愛知県
shizuoka	静岡県
gifu	岐阜県
mie	三重県
okayama	岡山県
hiroshima	広島県
tottori	鳥取県
shimane	島根県
yamaguchi	山口県
osaka	大阪府
hyogo	兵庫県
kyoto	京都府
shiga	滋賀県
nara	奈良県
wakayama	和歌山県
ehime	愛媛県
kagawa	香川県
kochi	高知県
tokushima	徳島県
fukuoka	福岡県
saga	佐賀県
nagasaki	長崎県
kumamoto	熊本県
oita	大分県
miyazaki	宮崎県
kagoshima	鹿児島県
okinawa	沖縄県

